Appareil suivi;ID logement;Consommation annuelle  AN1;Consommation annuelle AN2;Type
Audio_TV;106;1,7;;Barre De Son
Audio_TV;302;22,2;16,7;Barre De Son
Audio_TV;311;14,7;13,0;Barre De Son
Audio_TV;410;7,8;7,8;Barre De Son
Audio_TV;608;7,9;7,5;Barre De Son
Audio_TV;808;0,8;;Barre De Son
Audio_TV;302;6,4;6,9;Barre De Son 2
Audio_TV;202;10,0;14,0;Home Cinéma
Audio_TV;209;0,5;0,0;Home Cinéma
Audio_TV;402;18,7;1,2;Home Cinéma
Audio_TV;405;6,6;0,3;Home Cinéma
Audio_TV;602;1,1;1,1;Home Cinéma
Audio_TV;1010;59,3;115,6;Home Cinéma
Audio_TV;121;;8,3;Barre De Son
Audio_TV;122;;21,0;Barre De Son
Audio_TV;823;;16,3;Barre De Son
Audio_TV;721;;3,2;Home Cinéma
Bouilloires;108;20,8;;
Bouilloires;201;1,6;;
Bouilloires;205;82,7;88,7;
Bouilloires;206;72,9;77,0;
Bouilloires;207;56,0;43,2;
Bouilloires;208;9,8;;
Bouilloires;210;96,2;99,1;
Bouilloires;301;15,1;16,5;
Bouilloires;303;43,9;41,7;
Bouilloires;309;40,9;33,9;
Bouilloires;310;45,2;52,5;
Bouilloires;311;34,2;42,5;
Bouilloires;401;33,5;;
Bouilloires;406;50,3;65,0;
Bouilloires;409;41,9;49,0;
Bouilloires;410;45,6;89,8;
Bouilloires;502;50,7;62,8;
Bouilloires;504;26,4;11,4;
Bouilloires;506;6,6;9,1;
Bouilloires;508;29,1;35,8;
Bouilloires;510;44,2;47,2;
Bouilloires;603;60,0;10,4;
Bouilloires;605;29,1;48,6;
Bouilloires;607;53,3;16,1;
Bouilloires;706;59,7;53,2;
Bouilloires;707;14,2;24,2;
Bouilloires;708;30,0;;
Bouilloires;802;0,4;;
Bouilloires;803;88,7;97,2;
Bouilloires;804;16,6;17,3;
Bouilloires;805;119,4;134,4;
Bouilloires;809;68,4;;
Bouilloires;909;103,4;85,0;
Bouilloires;911;66,4;49,7;
Bouilloires;1001;113,3;63,4;
