Appareil suivi;CT Annuelle;Type
Mobilité_électrique;40.2;VÉLO ÉLECTRIQUE
Mobilité_électrique;37.3;VÉLO ÉLECTRIQUE
Mobilité_électrique;20.8;VÉLO ÉLECTRIQUE
Mobilité_électrique;14.6;VÉLO ÉLECTRIQUE
Mobilité_électrique;5.2;VÉLO ÉLECTRIQUE
Sécurité;80.8;VOLETS ROULANTS
Sécurité;46.4;VOLETS ROULANTS
Sécurité;35.3;VOLETS ROULANTS
Sécurité;5.5;VOLETS ROULANTS
Plaques cuisson;1132.8;VITROCÉRAMIQUE
Plaques cuisson;1024.2;VITROCÉRAMIQUE
Plaques cuisson;363.3;VITROCÉRAMIQUE
Plaques cuisson;321.6;VITROCÉRAMIQUE
Plaques cuisson;317.8;VITROCÉRAMIQUE
Plaques cuisson;307.9;VITROCÉRAMIQUE
Plaques cuisson;246.0;VITROCÉRAMIQUE
Plaques cuisson;228.5;VITROCÉRAMIQUE
Plaques cuisson;139.7;VITROCÉRAMIQUE
Plaques cuisson;100.4;VITROCÉRAMIQUE
Plaques cuisson;7.1;VITROCÉRAMIQUE
Sécurité;82.3;VISIOPHONE
Lave linge;360.8;TOP
Lave linge;353.0;TOP
Lave linge;264.9;TOP
Lave linge;221.4;TOP
Lave linge;189.7;TOP
Lave linge;182.2;TOP
Lave linge;160.0;TOP
Lave linge;155.9;TOP
Lave linge;154.0;TOP
Lave linge;118.2;TOP
Lave linge;115.5;TOP
Lave linge;114.2;TOP
Lave linge;100.6;TOP
Lave linge;84.4;TOP
Lave linge;78.4;TOP
Lave linge;67.0;TOP
Lave linge;56.0;TOP
Lave linge;44.2;TOP
Tablettes_smartph;16.0;TABLETTE
Tablettes_smartph;5.3;TABLETTE
Lave linge;416.7;SÉCHANTE
Lave linge;323.9;SÉCHANTE
Lave linge;76.0;SÉCHANTE
Lave linge;17.1;SÉCHANTE
Périph_Internet_réseaux;87.2;SWITCH ETHERNET
Piscines;5033.1;SPA
Périph_Internet_réseaux;276.5;SERVEUR
Périph_Internet_réseaux;152.5;SERVEUR
Téléviseurs;829.0;SECONDAIRE
Téléviseurs;311.1;SECONDAIRE
Téléviseurs;311.0;SECONDAIRE
Téléviseurs;286.7;SECONDAIRE
Téléviseurs;208.1;SECONDAIRE
Téléviseurs;115.9;SECONDAIRE
Téléviseurs;102.2;SECONDAIRE
Téléviseurs;92.3;SECONDAIRE
Téléviseurs;83.2;SECONDAIRE
Téléviseurs;79.5;SECONDAIRE
Téléviseurs;77.5;SECONDAIRE
Téléviseurs;71.2;SECONDAIRE
Téléviseurs;59.1;SECONDAIRE
Téléviseurs;49.1;SECONDAIRE
Téléviseurs;47.8;SECONDAIRE
Téléviseurs;40.0;SECONDAIRE
Téléviseurs;33.1;SECONDAIRE
Téléviseurs;24.4;SECONDAIRE
Téléviseurs;19.4;SECONDAIRE
Téléviseurs;10.3;SECONDAIRE
Téléviseurs;8.2;SECONDAIRE
Divers cuisine;38.9;RICE COOKER
Divers cuisine;6.5;RICE COOKER
Clim_mob_rafraich_Déshum;29.3;RAFRAICHISSEUR SUR PRISE
Clim_mob_rafraich_Déshum;15.5;RAFRAICHISSEUR SUR PRISE
Divers cuisine;3.3;RACLETTE
Téléviseurs;1465.8;PRINCIPAL
Téléviseurs;941.7;PRINCIPAL
Téléviseurs;922.7;PRINCIPAL
Téléviseurs;918.0;PRINCIPAL
Téléviseurs;853.9;PRINCIPAL
Téléviseurs;821.8;PRINCIPAL
Téléviseurs;789.2;PRINCIPAL
Téléviseurs;786.6;PRINCIPAL
Téléviseurs;696.0;PRINCIPAL
Téléviseurs;680.7;PRINCIPAL
Téléviseurs;642.7;PRINCIPAL
Téléviseurs;631.9;PRINCIPAL
Téléviseurs;595.2;PRINCIPAL
Téléviseurs;589.0;PRINCIPAL
Téléviseurs;525.9;PRINCIPAL
Téléviseurs;525.6;PRINCIPAL
Téléviseurs;453.7;PRINCIPAL
Téléviseurs;451.6;PRINCIPAL
Téléviseurs;443.6;PRINCIPAL
Téléviseurs;419.7;PRINCIPAL
Téléviseurs;419.7;PRINCIPAL
Téléviseurs;403.8;PRINCIPAL
Téléviseurs;385.5;PRINCIPAL
Téléviseurs;366.5;PRINCIPAL
Téléviseurs;360.0;PRINCIPAL
Téléviseurs;347.6;PRINCIPAL
Téléviseurs;344.7;PRINCIPAL
Téléviseurs;332.6;PRINCIPAL
Téléviseurs;320.7;PRINCIPAL
Téléviseurs;315.1;PRINCIPAL
Téléviseurs;312.7;PRINCIPAL
Téléviseurs;311.4;PRINCIPAL
Téléviseurs;306.3;PRINCIPAL
Téléviseurs;299.4;PRINCIPAL
Téléviseurs;285.5;PRINCIPAL
Téléviseurs;267.6;PRINCIPAL
Téléviseurs;266.5;PRINCIPAL
Téléviseurs;265.2;PRINCIPAL
Téléviseurs;263.0;PRINCIPAL
Téléviseurs;258.3;PRINCIPAL
Téléviseurs;254.5;PRINCIPAL
Téléviseurs;254.0;PRINCIPAL
Téléviseurs;241.9;PRINCIPAL
Téléviseurs;234.0;PRINCIPAL
Téléviseurs;233.5;PRINCIPAL
Téléviseurs;230.9;PRINCIPAL
Téléviseurs;229.0;PRINCIPAL
Téléviseurs;228.6;PRINCIPAL
Téléviseurs;222.8;PRINCIPAL
Téléviseurs;220.8;PRINCIPAL
Téléviseurs;220.2;PRINCIPAL
Téléviseurs;216.0;PRINCIPAL
Téléviseurs;205.0;PRINCIPAL
Téléviseurs;201.1;PRINCIPAL
Téléviseurs;200.2;PRINCIPAL
Téléviseurs;188.3;PRINCIPAL
Téléviseurs;177.1;PRINCIPAL
Téléviseurs;170.9;PRINCIPAL
Téléviseurs;164.9;PRINCIPAL
Téléviseurs;163.4;PRINCIPAL
Téléviseurs;154.8;PRINCIPAL
Téléviseurs;151.9;PRINCIPAL
Téléviseurs;140.0;PRINCIPAL
Téléviseurs;119.6;PRINCIPAL
Téléviseurs;112.0;PRINCIPAL
Téléviseurs;95.3;PRINCIPAL
Téléviseurs;87.1;PRINCIPAL
Téléviseurs;76.1;PRINCIPAL
Téléviseurs;74.0;PRINCIPAL
Téléviseurs;56.8;PRINCIPAL
Téléviseurs;55.2;PRINCIPAL
Téléviseurs;46.3;PRINCIPAL
Téléviseurs;8.6;PRINCIPAL
Téléviseurs;7.5;PRINCIPAL
Sécurité;231.4;PORTE OU PORTAIL AUTOMATIQUE
Sécurité;198.2;PORTE OU PORTAIL AUTOMATIQUE
Sécurité;104.9;PORTE OU PORTAIL AUTOMATIQUE
Sécurité;55.8;PORTE OU PORTAIL AUTOMATIQUE
Sèche linge;641.4;POMPE À CHALEUR
Sèche linge;459.2;POMPE À CHALEUR
Sèche linge;248.6;POMPE À CHALEUR
Pompes;208.3;POMPE JARDIN
